#入力日時,購入日,品目,金額,森山立替,木村立替,山本立替,森山分担,木村分担,山本分担,森山端数,木村端数,山本端数,精算状況
2019年11月04日12時57分08秒,20191104,外食費,984,984,,,328,328,328,null,null,null,精算(端数込)
2019年11月04日17時08分02秒,20191104,食費,1728,,1728,,576,576,576,null,null,null,精算(端数込)
2019年11月04日17時10分41秒,20191104,食費,535,,535,,178,178,178,null,1,null,精算(端数込)
2019年11月04日23時53分20秒,20191104,食費,1982,,,1982,660,660,660,null,null,2,精算(端数込)
2019年11月04日23時53分31秒,20191104,食費,1564,,,1564,521,521,521,null,null,1,精算(端数込)
2019年11月05日20時51分45秒,20191105,食費,2800,,2800,,2800,,,null,null,null,精算(端数込)
2019年11月08日01時39分53秒,20191106,雑貨(消耗品),647,647,,,215,215,215,2,null,null,精算(端数込)
2019年11月08日01時40分07秒,20191106,雑貨(消耗品),636,636,,,212,212,212,null,null,null,精算(端数込)
2019年11月08日01時40分22秒,20191106,雑貨(消耗品),1060,1060,,,353,353,353,1,null,null,精算(端数込)
2019年11月14日11時07分38秒,20191107,食費,1598,1598,,,532,532,532,2,null,null,精算(端数込)
2019年11月14日11時08分40秒,20191107,外食費,10919,10919,,,3639,3639,3639,2,null,null,精算(端数込)
2019年11月14日21時41分51秒,20191107,外食費,2527,2527,,,1263,1263,,1,null,null,精算(端数込)
2019年11月08日14時35分41秒,20191108,雑貨(消耗品),1318,1318,,,439,439,439,1,null,null,精算(端数込)
2019年11月14日11時07分07秒,20191108,水道代,8818,8818,,,2939,2939,2939,1,null,null,精算(端数込)
2020年02月11日22時57分51秒,20191109,食費,4149,,,4149,1383,1383,1383,null,null,null,精算(端数込)
2020年02月11日22時59分56秒,20191109,食費,1200,,,1200,400,400,400,null,null,null,精算(端数込)
2020年02月11日22時57分09秒,20191110,食費,2863,,,2863,954,954,954,null,null,1,精算(端数込)
2020年02月11日22時59分36秒,20191110,食費,777,,,777,259,259,259,null,null,null,精算(端数込)
2020年02月11日22時59分44秒,20191110,食費,1544,,,1544,514,514,514,null,null,2,精算(端数込)
2020年03月01日17時07分42秒,20191111,食費,818,,818,,272,272,272,null,2,null,精算(端数込)
2019年12月04日20時16分06秒,20191112,雑貨(消耗品),4301,4301,,,1433,1433,1433,2,null,null,精算(端数込)
2020年03月01日17時07分18秒,20191112,食費,2797,,2797,,,1398,1398,null,1,null,精算(端数込)
2020年03月01日17時06分54秒,20191114,食費,310,,310,,310,,,null,null,null,精算(端数込)
2019年11月16日13時35分19秒,20191115,雑貨(消耗品),706,706,,,235,235,235,1,null,null,精算(端数込)
2019年12月04日20時15分39秒,20191115,遊行費,15450,15450,,,5150,5150,5150,null,null,null,精算(端数込)
2019年12月04日20時14分35秒,20191116,外食費,10912,10912,,,3637,3637,3637,1,null,null,精算(端数込)
2019年12月04日20時15分01秒,20191116,雑貨(消耗品),2575,2575,,,858,858,858,1,null,null,精算(端数込)
2020年02月11日22時58分46秒,20191116,食費,926,,,926,308,308,308,null,null,2,精算(端数込)
2020年03月01日17時05分05秒,20191116,食費,864,,864,,288,288,288,null,null,null,精算(端数込)
2020年03月01日17時05分53秒,20191116,食費,850,,850,,283,283,283,null,1,null,精算(端数込)
2020年03月01日17時06分11秒,20191116,食費,1450,,1450,,483,483,483,null,1,null,精算(端数込)
2020年03月01日17時06分35秒,20191116,食費,1490,,1490,,496,496,496,null,2,null,精算(端数込)
2020年02月11日22時57分38秒,20191117,食費,12419,,,12419,4139,4139,4139,null,null,2,精算(端数込)
2020年02月11日22時58分13秒,20191117,食費,2138,,,2138,712,712,712,null,null,2,精算(端数込)
2020年02月11日22時59分15秒,20191117,食費,850,,,850,850,,,null,null,null,精算(端数込)
2020年02月11日22時59分24秒,20191117,食費,1900,,,1900,633,633,633,null,null,1,精算(端数込)
2020年03月01日17時02分33秒,20191117,食費,1202,,1202,,400,400,400,null,2,null,精算(端数込)
2019年12月04日20時13分44秒,20191118,食費,625,625,,,208,208,208,1,null,null,精算(端数込)
2019年12月04日20時11分06秒,20191120,外食費,416,416,,,138,138,138,2,null,null,精算(端数込)
2019年12月04日20時11分34秒,20191120,外食費,1458,1458,,,486,486,486,null,null,null,精算(端数込)
2019年12月04日20時11分54秒,20191120,雑貨(消耗品),6588,6588,,,2196,2196,2196,null,null,null,精算(端数込)
2019年12月04日20時12分28秒,20191120,雑貨(消耗品),9850,9850,,,3283,3283,3283,1,null,null,精算(端数込)
2019年12月04日20時12分50秒,20191120,食費,864,864,,,,864,,null,null,null,精算(端数込)
2020年03月01日17時02分01秒,20191120,外食費,3150,,3150,,1050,1050,1050,null,null,null,精算(端数込)
2019年12月04日19時41分56秒,20191121,雑貨(消耗品),5422,5422,,,1807,1807,1807,1,null,null,精算(端数込)
2019年12月04日20時10分42秒,20191121,雑貨(消耗品),1463,1463,,,487,487,487,2,null,null,精算(端数込)
2019年12月04日20時13分10秒,20191122,家賃振込料,440,440,,,146,146,146,2,null,null,精算(端数込)
2020年01月07日23時49分48秒,20191122,食費,1323,1323,,,441,441,441,null,null,null,精算(端数込)
2020年03月01日16時58分26秒,20191122,食費,864,,864,,288,288,288,null,null,null,精算(端数込)
2020年03月01日16時58分40秒,20191122,食費,1100,,1100,,366,366,366,null,2,null,精算(端数込)
2020年03月01日17時00分19秒,20191122,外食費,3370,,3370,,1123,1123,1123,null,1,null,精算(端数込)
2020年02月11日22時58分25秒,20191123,食費,1994,,,1994,664,664,664,null,null,2,精算(端数込)
2020年02月11日22時58分31秒,20191123,食費,2251,,,2251,750,750,750,null,null,1,精算(端数込)
2020年02月11日22時58分37秒,20191123,食費,1134,,,1134,378,378,378,null,null,null,精算(端数込)
2020年03月01日16時58分11秒,20191123,食費,900,,900,,300,300,300,null,null,null,精算(端数込)
2020年02月11日22時52分41秒,20191124,食費,2953,,,2953,984,984,984,null,null,1,精算(端数込)
2020年02月11日22時57分18秒,20191124,食費,2357,,,2357,785,785,785,null,null,2,精算(端数込)
2019年11月25日20時57分34秒,20191125,食費,3008,3008,,,1504,1504,,null,null,null,精算(端数込)
2019年12月04日20時09分29秒,20191126,外食費,2073,2073,,,691,691,691,null,null,null,精算(端数込)
2019年12月04日20時09分47秒,20191126,食費,1350,1350,,,450,450,450,null,null,null,精算(端数込)
2020年03月01日16時55分48秒,20191126,雑貨(消耗品),2337,,2337,,779,779,779,null,null,null,精算(端数込)
2020年03月01日16時56分42秒,20191126,食費,149,,149,,49,49,49,null,2,null,精算(端数込)
2020年03月01日16時57分18秒,20191126,食費,900,,900,,300,300,300,null,null,null,精算(端数込)
2020年03月01日16時57分32秒,20191126,食費,864,,864,,288,288,288,null,null,null,精算(端数込)
2020年03月01日16時57分51秒,20191126,食費,1620,,1620,,540,540,540,null,null,null,精算(端数込)
2020年03月01日16時55分23秒,20191127,食費,442,,442,,221,221,,null,null,null,精算(端数込)
2020年03月01日16時55分06秒,20191128,食費,684,,684,,228,228,228,null,null,null,精算(端数込)
2020年03月01日16時54分25秒,20191129,外食費,1555,,1555,,518,518,518,null,1,null,精算(端数込)
2020年03月01日16時53分18秒,20191130,食費,1684,,1684,,561,561,561,null,1,null,精算(端数込)
2020年03月01日16時54分01秒,20191130,外食費,1100,,1100,,366,366,366,null,2,null,精算(端数込)
2019年12月04日19時40分10秒,20191201,食費,5000,5000,,,1666,1666,1666,2,null,null,精算(端数込)
2019年12月04日19時41分24秒,20191201,ガス代,6444,6444,,,2148,2148,2148,null,null,null,精算(端数込)
2020年03月01日16時52分19秒,20191201,食費,598,,598,,199,199,199,null,1,null,精算(端数込)
2020年03月01日16時52分31秒,20191201,食費,864,,864,,288,288,288,null,null,null,精算(端数込)
2020年03月01日16時52分56秒,20191201,食費,1140,,1140,,,570,570,null,null,null,精算(端数込)
2019年12月04日19時43分27秒,20191202,食費,2372,2372,,,790,790,790,2,null,null,精算(端数込)
2019年12月04日19時44分18秒,20191202,雑貨(消耗品),15880,15880,,,5293,5293,5293,1,null,null,精算(端数込)
2020年03月01日16時51分55秒,20191202,雑貨(消耗品),1119,,1119,,373,373,373,null,null,null,精算(端数込)
2019年12月04日19時42分46秒,20191203,食費,1289,1289,,,429,429,429,2,null,null,精算(端数込)
2019年12月04日19時43分05秒,20191203,食費,2381,2381,,,793,793,793,2,null,null,精算(端数込)
2019年12月04日19時42分19秒,20191204,雑貨(消耗品),2857,2857,,,952,952,952,1,null,null,精算(端数込)
2020年01月06日14時49分02秒,20191204,食費,20692,20692,,,6897,6897,6897,1,null,null,精算(端数込)
2020年03月01日16時51分23秒,20191204,食費,2750,,2750,,1375,1375,,null,null,null,精算(端数込)
2019年12月31日13時33分50秒,20191205,食費,3182,3182,,,1060,1060,1060,2,null,null,精算(端数込)
2020年03月01日16時51分04秒,20191205,食費,1770,,1770,,885,885,,null,null,null,精算(端数込)
2020年03月01日16時49分21秒,20191207,食費,427,,427,,142,142,142,null,1,null,精算(端数込)
2020年03月01日16時50分07秒,20191207,雑貨(消耗品),4606,,4606,,1535,1535,1535,null,1,null,精算(端数込)
2020年03月01日16時50分29秒,20191207,食費,1340,,1340,,446,446,446,null,2,null,精算(端数込)
2019年12月31日13時32分26秒,20191208,雑貨(消耗品),1340,1340,,,446,446,446,2,null,null,精算(端数込)
2020年01月07日23時50分35秒,20191208,雑貨(消耗品),872,872,,,290,290,290,2,null,null,精算(端数込)
2020年02月11日22時53分00秒,20191208,食費,4836,,,4836,1612,1612,1612,null,null,null,精算(端数込)
2020年02月11日22時54分08秒,20191208,食費,760,,,760,253,253,253,null,null,1,精算(端数込)
2020年02月11日22時56分06秒,20191208,食費,564,,,564,188,188,188,null,null,null,精算(端数込)
2020年02月11日22時56分18秒,20191208,食費,2470,,,2470,823,823,823,null,null,1,精算(端数込)
2020年02月11日22時56分26秒,20191208,食費,1116,,,1116,372,372,372,null,null,null,精算(端数込)
2020年02月11日22時56分38秒,20191208,食費,882,,,882,294,294,294,null,null,null,精算(端数込)
2020年02月11日22時56分46秒,20191208,食費,2386,,,2386,795,795,795,null,null,1,精算(端数込)
2020年02月11日22時56分54秒,20191208,食費,184,,,184,61,61,61,null,null,1,精算(端数込)
2020年03月01日16時48分49秒,20191208,食費,641,,641,,213,213,213,null,2,null,精算(端数込)
2019年12月31日13時30分08秒,20191209,雑貨(消耗品),1405,1405,,,468,468,468,1,null,null,精算(端数込)
2020年03月01日16時48分25秒,20191209,食費,1000,,1000,,500,,500,null,null,null,精算(端数込)
2020年01月07日23時49分22秒,20191210,食費,5940,5940,,,1980,1980,1980,null,null,null,精算(端数込)
2020年03月01日16時47分21秒,20191210,食費,989,,989,,329,329,329,null,2,null,精算(端数込)
2019年12月31日13時29分43秒,20191211,雑貨(消耗品),2508,2508,,,836,836,836,null,null,null,精算(端数込)
2019年12月31日13時30分38秒,20191211,食費,21150,21150,,,7050,7050,7050,null,null,null,精算(端数込)
2020年03月01日16時46分52秒,20191211,食費,2788,,2788,,1394,1394,,null,null,null,精算(端数込)
2019年12月31日13時29分15秒,20191212,食費,950,950,,,316,316,316,2,null,null,精算(端数込)
2020年03月01日16時45分33秒,20191212,外食費,3190,,3190,,1595,1595,,null,null,null,精算(端数込)
2019年12月13日20時04分54秒,20191213,食費,3336,,3336,,1668,1668,,null,null,null,精算(端数込)
2019年12月31日13時28分31秒,20191213,雑貨(消耗品),518,518,,,172,172,172,2,null,null,精算(端数込)
2019年12月31日13時28分50秒,20191213,食費,864,864,,,288,288,288,null,null,null,精算(端数込)
2019年12月31日13時27分59秒,20191214,食費,777,777,,,259,259,259,null,null,null,精算(端数込)
2020年03月01日16時44分07秒,20191214,食費,1708,,1708,,569,569,569,null,1,null,精算(端数込)
2020年03月01日16時43分28秒,20191215,外食費,6303,,6303,,3151,3151,,null,1,null,精算(端数込)
2020年03月01日16時43分46秒,20191215,食費,864,,864,,288,288,288,null,null,null,精算(端数込)
2019年12月31日13時27分41秒,20191216,食費,1260,1260,,,420,420,420,null,null,null,精算(端数込)
2020年03月01日16時42分32秒,20191216,食費,829,,829,,414,414,,null,1,null,精算(端数込)
2020年03月01日16時43分00秒,20191216,食費,648,,648,,648,,,null,null,null,精算(端数込)
2019年12月31日13時26分08秒,20191218,雑貨(消耗品),900,900,,,300,300,300,null,null,null,精算(端数込)
2019年12月31日13時26分38秒,20191218,食費,475,475,,,158,158,158,1,null,null,精算(端数込)
2019年12月31日13時27分24秒,20191218,食費,1458,1458,,,486,486,486,null,null,null,精算(端数込)
2019年12月19日20時41分32秒,20191219,食費,3089,,3089,,1544,1544,,null,1,null,精算(端数込)
2019年12月31日13時25分12秒,20191219,食費,864,864,,,288,288,288,null,null,null,精算(端数込)
2020年03月01日16時41分58秒,20191219,食費,208,,208,,69,69,69,null,1,null,精算(端数込)
2020年03月01日16時42分04秒,20191219,食費,106,,106,,35,35,35,null,1,null,精算(端数込)
2019年12月31日13時24分39秒,20191220,食費,991,991,,,330,330,330,1,null,null,精算(端数込)
2019年12月31日13時24分01秒,20191221,食費,1231,1231,,,410,410,410,1,null,null,精算(端数込)
2020年02月11日22時48分34秒,20191221,食費,8364,,,8364,2788,2788,2788,null,null,null,精算(端数込)
2020年02月11日22時55分24秒,20191221,食費,9288,,,9288,3096,3096,3096,null,null,null,精算(端数込)
2020年02月11日22時55分38秒,20191222,食費,5022,,,5022,1674,1674,1674,null,null,null,精算(端数込)
2020年03月01日16時40分55秒,20191222,食費,864,,864,,288,288,288,null,null,null,精算(端数込)
2020年03月01日16時41分06秒,20191222,食費,1280,,1280,,426,426,426,null,2,null,精算(端数込)
2020年03月01日16時41分37秒,20191222,食費,1739,,1739,,579,579,579,null,2,null,精算(端数込)
2019年12月31日13時22分36秒,20191223,食費,745,745,,,248,248,248,1,null,null,精算(端数込)
2019年12月31日13時23分09秒,20191223,食費,431,431,,,,,431,null,null,null,精算(端数込)
2020年03月01日16時37分56秒,20191223,食費,1992,,1992,,664,664,664,null,null,null,精算(端数込)
2020年03月01日16時38分23秒,20191223,食費,1792,,1792,,597,597,597,null,1,null,精算(端数込)
2020年03月01日16時38分46秒,20191223,交通費,1620,,1620,,540,540,540,null,null,null,精算(端数込)
2020年03月01日16時39分13秒,20191223,食費,11000,,11000,,3666,3666,3666,null,2,null,精算(端数込)
2020年03月01日16時39分36秒,20191223,食費,5245,,5245,,1748,1748,1748,null,1,null,精算(端数込)
2020年03月01日16時39分58秒,20191223,食費,2689,,2689,,896,896,896,null,1,null,精算(端数込)
2020年03月01日16時40分41秒,20191223,食費,2103,,2103,,701,701,701,null,null,null,精算(端数込)
2019年12月31日13時19分17秒,20191224,雑貨(消耗品),305,305,,,101,101,101,2,null,null,精算(端数込)
2019年12月31日13時22分19秒,20191224,食費,4245,4245,,,1415,1415,1415,null,null,null,精算(端数込)
2020年03月01日16時37分36秒,20191224,食費,2826,,2826,,942,942,942,null,null,null,精算(端数込)
2019年12月31日13時18分38秒,20191225,家賃振込料,440,440,,,146,146,146,2,null,null,精算(端数込)
2020年03月01日16時37分04秒,20191225,食費,1750,,1750,,875,875,,null,null,null,精算(端数込)
2019年12月31日13時18分19秒,20191226,食費,4037,4037,,,2018,2018,,1,null,null,精算(端数込)
2020年03月01日16時36分39秒,20191226,食費,398,,398,,132,132,132,null,2,null,精算(端数込)
2019年12月31日13時17分20秒,20191227,食費,864,864,,,288,288,288,null,null,null,精算(端数込)
2019年12月31日13時21分40秒,20191227,ガス代,38995,38995,,,12998,12998,12998,1,null,null,精算(端数込)
2020年03月01日16時36分16秒,20191227,食費,2991,,2991,,997,997,997,null,null,null,精算(端数込)
2020年02月11日22時54分22秒,20191228,食費,2287,,,2287,762,762,762,null,null,1,精算(端数込)
2019年12月31日13時17分03秒,20191229,食費,2136,2136,,,712,712,712,null,null,null,精算(端数込)
2020年02月11日22時53分52秒,20191229,雑貨(消耗品),1958,,,1958,652,652,652,null,null,2,精算(端数込)
2020年02月11日23時00分09秒,20191229,食費,2816,,,2816,938,938,938,null,null,2,精算(端数込)
2020年03月01日16時35分52秒,20191229,食費,410,,410,,136,136,136,null,2,null,精算(端数込)
2019年12月31日13時16分36秒,20191230,食費,1170,1170,,,390,390,390,null,null,null,精算(端数込)
2020年02月11日22時54分59秒,20191230,食費,1650,,,1650,550,550,550,null,null,null,精算(端数込)
2020年03月01日16時35分39秒,20191230,食費,1960,,1960,,653,653,653,null,1,null,精算(端数込)
2020年01月02日23時09分57秒,20200102,食費,2019,2019,,,1009,,1009,1,null,null,精算(端数込)
2020年01月07日23時55分17秒,20200103,雑貨(消耗品),1904,1904,,,634,634,634,2,null,null,精算(端数込)
2020年03月01日16時34分33秒,20200103,食費,1521,,1521,,,760,760,null,1,null,精算(端数込)
2020年03月01日16時35分11秒,20200103,食費,5625,,5625,,1875,1875,1875,null,null,null,精算(端数込)
2020年03月01日16時33分26秒,20200104,食費,864,,864,,288,288,288,null,null,null,精算(端数込)
2020年03月01日16時34分01秒,20200104,食費,4166,,4166,,1388,1388,1388,null,2,null,精算(端数込)
2020年03月01日16時33分10秒,20200105,食費,1156,,1156,,,578,578,null,null,null,精算(端数込)
2020年01月07日23時53分20秒,20200106,雑貨(消耗品),2910,2910,,,970,970,970,null,null,null,精算(端数込)
2020年01月07日23時54分23秒,20200106,食費,1120,1120,,,,1120,,null,null,null,精算(端数込)
2020年01月07日23時52分39秒,20200107,雑貨(消耗品),3634,3634,,,1211,1211,1211,1,null,null,精算(端数込)
2020年03月01日16時31分53秒,20200107,食費,1045,,1045,,522,522,,null,1,null,精算(端数込)
2020年03月01日16時32分11秒,20200107,食費,3060,,3060,,1530,1530,,null,null,null,精算(端数込)
2020年01月16日00時51分57秒,20200108,食費,3564,3564,,,1782,1782,,null,null,null,精算(端数込)
2020年03月01日16時31分29秒,20200108,食費,1233,,1233,,411,411,411,null,null,null,精算(端数込)
2020年01月16日00時51分30秒,20200109,食費,644,644,,,322,322,,null,null,null,精算(端数込)
2020年03月01日16時30分28秒,20200109,食費,700,,700,,233,233,233,null,1,null,精算(端数込)
2020年03月01日16時31分00秒,20200110,食費,864,,864,,288,288,288,null,null,null,精算(端数込)
2020年01月16日00時51分06秒,20200111,食費,12367,12367,,,4122,4122,4122,1,null,null,精算(端数込)
2020年02月11日22時54分45秒,20200112,食費,3501,,,3501,1167,1167,1167,null,null,null,精算(端数込)
2020年03月01日16時29分39秒,20200112,食費,208,,208,,69,69,69,null,1,null,精算(端数込)
2020年03月01日16時30分06秒,20200112,食費,1810,,1810,,603,603,603,null,1,null,精算(端数込)
2020年03月01日16時28分24秒,20200113,食費,864,,864,,288,288,288,null,null,null,精算(端数込)
2020年03月01日16時29分22秒,20200113,雑貨(消耗品),1155,,1155,,385,385,385,null,null,null,精算(端数込)
2020年01月16日00時50分13秒,20200114,食費,1080,1080,,,360,360,360,null,null,null,精算(端数込)
2020年01月16日00時50分44秒,20200114,食費,800,800,,,266,266,266,2,null,null,精算(端数込)
2020年03月01日16時28分02秒,20200114,雑貨(消耗品),333,,333,,111,111,111,null,null,null,精算(端数込)
2020年01月16日00時49分49秒,20200115,雑貨(消耗品),492,492,,,164,164,164,null,null,null,精算(端数込)
2020年01月16日00時49分28秒,20200116,遊行費,6699,6699,,,2233,2233,2233,null,null,null,精算(端数込)
2020年03月01日16時27分21秒,20200116,食費,2944,,2944,,1472,1472,,null,null,null,精算(端数込)
2020年03月01日16時26分26秒,20200117,食費,2176,,2176,,,1088,1088,null,null,null,精算(端数込)
2020年01月26日03時20分23秒,20200118,食費,732,732,,,244,244,244,null,null,null,精算(端数込)
2020年01月26日03時21分07秒,20200118,雑貨(消耗品),2150,2150,,,716,716,716,2,null,null,精算(端数込)
2020年01月26日03時21分33秒,20200118,雑貨(消耗品),460,460,,,153,153,153,1,null,null,精算(端数込)
2020年01月19日20時15分25秒,20200119,クリーニング,2000,,2000,,,,2000,null,null,null,精算(端数込)
2020年02月11日22時48分57秒,20200119,食費,3255,,,3255,1085,1085,1085,null,null,null,精算(端数込)
2020年03月01日16時25分46秒,20200119,食費,837,,837,,,418,418,null,1,null,精算(端数込)
2020年01月26日03時22分40秒,20200120,食費,2900,2900,,,1450,1450,,null,null,null,精算(端数込)
2020年02月23日21時59分19秒,20200121,食費,1674,1674,,,558,558,558,null,null,null,精算(端数込)
2020年01月22日20時07分26秒,20200122,食費,4500,4500,,,1500,1500,1500,null,null,null,精算(端数込)
2020年01月26日03時24分48秒,20200122,食費,864,864,,,288,288,288,null,null,null,精算(端数込)
2020年01月26日03時25分11秒,20200122,雑貨(消耗品),921,921,,,307,307,307,null,null,null,精算(端数込)
2020年01月26日03時25分27秒,20200122,雑貨(消耗品),1820,1820,,,606,606,606,2,null,null,精算(端数込)
2020年01月26日03時25分49秒,20200122,雑貨(消耗品),8478,8478,,,2826,2826,2826,null,null,null,精算(端数込)
2020年02月23日21時57分54秒,20200122,交通費,4740,4740,,,1580,1580,1580,null,null,null,精算(端数込)
2020年02月23日21時58分51秒,20200122,外食費,6545,6545,,,3272,3272,,1,null,null,精算(端数込)
2020年01月26日03時24分01秒,20200123,食費,1423,1423,,,711,,711,1,null,null,精算(端数込)
2020年01月26日03時24分14秒,20200123,食費,960,960,,,320,320,320,null,null,null,精算(端数込)
2020年01月26日03時24分33秒,20200123,食費,1552,1552,,,776,,776,null,null,null,精算(端数込)
2020年01月26日03時19分37秒,20200124,食費,2045,2045,,,681,681,681,2,null,null,精算(端数込)
2020年01月26日03時23分14秒,20200124,食費,3812,3812,,,1906,,1906,null,null,null,精算(端数込)
2020年02月11日22時53分36秒,20200124,外食費,18040,,,18040,6013,6013,6013,null,null,1,精算(端数込)
2020年02月11日22時48分00秒,20200125,外食費,1892,,,1892,630,630,630,null,null,2,精算(端数込)
2020年02月11日22時51分57秒,20200125,外食費,6754,,,6754,3377,,3377,null,null,null,精算(端数込)
2020年02月11日22時52分27秒,20200125,食費,540,,,540,,270,270,null,null,null,精算(端数込)
2020年02月05日22時42分36秒,20200126,雑貨(消耗品),815,815,,,271,271,271,2,null,null,精算(端数込)
2020年02月11日22時47分01秒,20200126,食費,548,,,548,182,182,182,null,null,2,精算(端数込)
2020年03月01日16時25分03秒,20200126,食費,9237,,9237,,3079,3079,3079,null,null,null,精算(端数込)
2020年02月05日22時41分55秒,20200127,食費,1206,1206,,,402,402,402,null,null,null,精算(端数込)
2020年02月05日22時42分15秒,20200127,家賃振込料,440,440,,,146,146,146,2,null,null,精算(端数込)
2020年02月05日22時41分39秒,20200128,雑貨(消耗品),790,790,,,263,263,263,1,null,null,精算(端数込)
2020年02月05日22時39分24秒,20200129,食費,302,302,,,151,151,,null,null,null,精算(端数込)
2020年02月05日22時40分11秒,20200129,食費,1805,1805,,,601,601,601,2,null,null,精算(端数込)
2020年02月05日22時41分14秒,20200129,雑貨(消耗品),657,657,,,219,219,219,null,null,null,精算(端数込)
2020年02月05日22時35分17秒,20200130,雑貨(消耗品),746,746,,,248,248,248,2,null,null,精算(端数込)
2020年02月05日22時39分02秒,20200130,食費,864,864,,,288,288,288,null,null,null,精算(端数込)
2020年02月05日22時37分56秒,20200131,雑貨(消耗品),728,728,,,242,242,242,2,null,null,精算(端数込)
2020年02月05日22時38分46秒,20200131,雑貨(消耗品),998,998,,,332,332,332,2,null,null,精算(端数込)
2020年02月11日22時51分19秒,20200201,外食費,14256,,,14256,4752,4752,4752,null,null,null,精算(端数込)
2020年03月01日16時24分20秒,20200201,食費,1196,,1196,,398,398,398,null,2,null,精算(端数込)
2020年02月11日22時49分11秒,20200202,食費,570,,,570,190,190,190,null,null,null,精算(端数込)
2020年03月01日16時23分02秒,20200202,食費,1749,,1749,,583,583,583,null,null,null,精算(端数込)
2020年03月01日16時23分41秒,20200202,食費,2181,,2181,,,1090,1090,null,1,null,精算(端数込)
2020年03月01日16時22分40秒,20200203,食費,2800,,2800,,1400,1400,,null,null,null,精算(端数込)
2020年02月05日22時36分19秒,20200204,雑貨(消耗品),412,412,,,137,137,137,1,null,null,精算(端数込)
2020年02月05日22時36分39秒,20200204,食費,750,750,,,250,250,250,null,null,null,精算(端数込)
2020年02月05日22時37分06秒,20200204,食費,1360,1360,,,453,453,453,1,null,null,精算(端数込)
2020年02月05日22時37分16秒,20200204,食費,864,864,,,288,288,288,null,null,null,精算(端数込)
2020年03月01日16時21分47秒,20200204,食費,2653,,2653,,1326,1326,,null,1,null,精算(端数込)
2020年02月05日22時35分34秒,20200205,雑貨(消耗品),1170,1170,,,390,390,390,null,null,null,精算(端数込)
2020年02月05日22時36分04秒,20200205,雑貨(消耗品),1835,1835,,,611,611,611,2,null,null,精算(端数込)
2020年03月01日16時21分24秒,20200205,食費,1338,,1338,,446,446,446,null,null,null,精算(端数込)
2020年02月23日22時06分43秒,20200206,雑貨(消耗品),555,555,,,185,185,185,null,null,null,精算(端数込)
2020年02月23日22時06分57秒,20200206,雑貨(消耗品),426,426,,,142,142,142,null,null,null,精算(端数込)
2020年02月11日22時47分18秒,20200208,外食費,4320,,,4320,1440,1440,1440,null,null,null,精算(端数込)
2020年02月23日22時05分47秒,20200208,雑貨(消耗品),540,540,,,180,180,180,null,null,null,精算(端数込)
2020年02月11日22時46分43秒,20200209,食費,3668,,,3668,1222,1222,1222,null,null,2,精算(端数込)
2020年02月11日22時49分41秒,20200209,食費,1130,,,1130,376,376,376,null,null,2,精算(端数込)
2020年02月11日22時50分17秒,20200209,食費,926,,,926,308,308,308,null,null,2,精算(端数込)
2020年02月11日22時52分12秒,20200209,食費,938,,,938,312,312,312,null,null,2,精算(端数込)
2020年03月01日16時18分11秒,20200209,食費,2955,,2955,,985,985,985,null,null,null,精算(端数込)
2020年03月01日16時19分53秒,20200209,食費,1150,,1150,,383,383,383,null,1,null,精算(端数込)
2020年02月23日22時05分09秒,20200210,食費,730,730,,,243,243,243,1,null,null,精算(端数込)
2020年02月23日22時05分25秒,20200210,雑貨(消耗品),7367,7367,,,2455,2455,2455,2,null,null,精算(端数込)
2020年03月01日16時13分20秒,20200210,食費,660,,660,,220,220,220,null,null,null,精算(端数込)
2020年03月01日16時13分55秒,20200210,食費,920,,920,,306,306,306,null,2,null,精算(端数込)
2020年03月01日16時16分09秒,20200210,食費,2540,,2540,,846,846,846,null,2,null,精算(端数込)
2020年02月11日22時46分01秒,20200211,食費,2334,,,2334,778,778,778,null,null,null,精算(端数込)
2020年02月11日22時46分10秒,20200211,食費,2489,,,2489,829,829,829,null,null,2,精算(端数込)
2020年02月11日22時46分29秒,20200211,食費,440,,,440,,220,220,null,null,null,精算(端数込)
2020年02月23日22時03分25秒,20200212,雑貨(消耗品),395,395,,,131,131,131,2,null,null,精算(端数込)
2020年02月23日22時03分41秒,20200212,雑貨(消耗品),1621,1621,,,810,810,,1,null,null,精算(端数込)
2020年02月23日22時04分10秒,20200212,食費,810,810,,,,810,,null,null,null,精算(端数込)
2020年02月23日22時04分23秒,20200212,食費,540,540,,,,540,,null,null,null,精算(端数込)
2020年02月23日22時04分52秒,20200212,食費,1670,1670,,,835,,835,null,null,null,精算(端数込)
2020年02月13日19時14分45秒,20200213,食費,2220,,2220,,2220,,,null,null,null,精算(端数込)
2020年02月23日22時02分41秒,20200214,雑貨(消耗品),3077,3077,,,1025,1025,1025,2,null,null,精算(端数込)
2020年03月01日16時12分45秒,20200215,外食費,3960,,3960,,1980,1980,,null,null,null,精算(端数込)
2020年02月23日22時01分46秒,20200216,外食費,1591,1591,,,795,795,,1,null,null,精算(端数込)
2020年02月23日22時01分05秒,20200217,外食費,680,680,,,226,226,226,2,null,null,精算(端数込)
2020年02月23日22時01分25秒,20200217,外食費,864,864,,,288,288,288,null,null,null,精算(端数込)
2020年03月01日16時12分05秒,20200219,食費,570,,570,,570,,,null,null,null,精算(端数込)
